year,city,country,avg_temp,
1825,Singapore,Singapore,26.43,
1839,Singapore,Singapore,25.79,
1840,Singapore,Singapore,25.89,
1841,Singapore,Singapore,25.98,26.0225
1842,Singapore,Singapore,26.14,25.95
1843,Singapore,Singapore,26.22,26.0575
1844,Singapore,Singapore,25.73,26.0175
1845,Singapore,Singapore,25.62,25.9275
1846,Singapore,Singapore,26.45,26.005
1847,Singapore,Singapore,25.88,25.92
1850,Singapore,Singapore,26.01,25.99
1851,Singapore,Singapore,26.09,26.1075
1852,Singapore,Singapore,25.97,25.9875
1853,Singapore,Singapore,26.18,26.0625
1854,Singapore,Singapore,25.95,26.0475
1855,Singapore,Singapore,26.08,26.045
1856,Singapore,Singapore,26.17,26.095
1858,Singapore,Singapore,26.15,26.0875
1859,Singapore,Singapore,26.24,26.16
1860,Singapore,Singapore,25.93,26.1225
1861,Singapore,Singapore,25.89,26.0525
1863,Singapore,Singapore,26.09,26.0375
1864,Singapore,Singapore,25.92,25.9575
1865,Singapore,Singapore,26.15,26.0125
1866,Singapore,Singapore,26.12,26.07
1867,Singapore,Singapore,26.04,26.0575
1868,Singapore,Singapore,26.15,26.115
1869,Singapore,Singapore,25.98,26.0725
1870,Singapore,Singapore,25.57,25.935
1871,Singapore,Singapore,25.58,25.82
1872,Singapore,Singapore,26.17,25.825
1873,Singapore,Singapore,26.4,25.93
1874,Singapore,Singapore,26.09,26.06
1875,Singapore,Singapore,25.47,26.0325
1876,Singapore,Singapore,25.72,25.92
1877,Singapore,Singapore,26.25,25.8825
1878,Singapore,Singapore,26.57,26.0025
1879,Singapore,Singapore,25.75,26.0725
1880,Singapore,Singapore,26.12,26.1725
1881,Singapore,Singapore,26.55,26.2475
1882,Singapore,Singapore,26.1,26.13
1883,Singapore,Singapore,26,26.1925
1884,Singapore,Singapore,25.86,26.1275
1885,Singapore,Singapore,26.22,26.045
1886,Singapore,Singapore,26.4,26.12
1887,Singapore,Singapore,25.6,26.02
1888,Singapore,Singapore,26.26,26.12
1889,Singapore,Singapore,26.46,26.18
1890,Singapore,Singapore,25.84,26.04
1891,Singapore,Singapore,26.14,26.175
1892,Singapore,Singapore,26.04,26.12
1893,Singapore,Singapore,25.8,25.955
1894,Singapore,Singapore,25.99,25.9925
1895,Singapore,Singapore,26.09,25.98
1896,Singapore,Singapore,26.46,26.085
1897,Singapore,Singapore,26.58,26.28
1898,Singapore,Singapore,26.3,26.3575
1899,Singapore,Singapore,26.22,26.39
1900,Singapore,Singapore,26.53,26.4075
1901,Singapore,Singapore,26.06,26.2775
1902,Singapore,Singapore,25.98,26.1975
1903,Singapore,Singapore,26.15,26.18
1904,Singapore,Singapore,25.85,26.01
1905,Singapore,Singapore,26.61,26.1475
1906,Singapore,Singapore,26.33,26.235
1907,Singapore,Singapore,26.3,26.2725
1908,Singapore,Singapore,26.22,26.365
1909,Singapore,Singapore,26.29,26.285
1910,Singapore,Singapore,26.11,26.23
1911,Singapore,Singapore,26.35,26.2425
1912,Singapore,Singapore,26.52,26.3175
1913,Singapore,Singapore,26.26,26.31
1914,Singapore,Singapore,26.65,26.445
1915,Singapore,Singapore,26.68,26.5275
1916,Singapore,Singapore,26.29,26.47
1917,Singapore,Singapore,25.92,26.385
1918,Singapore,Singapore,25.9,26.1975
1919,Singapore,Singapore,26.55,26.165
1920,Singapore,Singapore,26.44,26.2025
1921,Singapore,Singapore,26.23,26.28
1922,Singapore,Singapore,26.28,26.375
1923,Singapore,Singapore,26.26,26.3025
1924,Singapore,Singapore,26.38,26.2875
1925,Singapore,Singapore,26.22,26.285
1926,Singapore,Singapore,26.6,26.365
